0,42.737991,7,13.900000,1,12.650000,9.008000,40931,1
1,43.104328,9,13.900000,0,13.900000,0.410072,42188,0
1,44.104328,9,0.587624,3,13.900000,0.252969,45427,1
1,47.104301,9,13.900000,6,2.450000,0.198174,54628,0
1,48.408371,12,0.478713,9,13.900000,2.889287,58926,0
1,49.144512,15,13.900000,9,0.557130,2.531199,62163,1
0,49.616932,13,13.900000,7,5.587624,4.068120,63776,1
1,56.144512,15,6.587624,3,13.900000,0.012768,90654,1
1,56.742809,18,13.900000,12,7.450000,4.252713,93857,1
0,57.130718,19,13.900000,7,5.587624,4.904223,95923,1
0,57.130718,19,13.900000,13,6.587624,4.384808,95924,1
1,57.247509,21,13.649981,9,2.162165,3.130083,96868,1
1,57.247509,21,13.649981,15,0.450000,1.850259,96869,1
1,57.408371,0,13.900000,12,8.450000,0.972477,97270,1
1,57.408371,6,13.900000,12,8.450000,0.462385,97271,1
0,57.616932,13,7.587624,1,12.650000,1.215040,98694,1
1,60.144508,15,13.900000,0,3.450000,0.382897,112796,0
1,60.144508,15,13.900000,6,3.450000,0.194502,112797,0
1,60.144508,15,8.450000,12,3.450000,0.049263,112798,0
1,64.247505,21,6.574268,3,13.900000,0.155596,135342,1
1,64.742821,0,13.900000,18,7.587624,0.336005,138506,1
1,64.742821,18,13.900000,3,7.587624,0.584848,138507,0
1,65.008179,27,13.900000,9,2.162165,3.278952,140012,1
1,65.008179,27,13.900000,15,1.450000,2.907901,140013,1
1,65.008179,27,13.900000,21,6.574268,3.760697,140014,1
0,65.035507,25,13.900000,7,5.587624,5.071443,140356,1
0,65.035507,25,13.900000,13,1.450000,3.449076,140357,1
0,65.035507,25,13.900000,19,6.587624,3.624453,140358,1
1,65.107635,24,13.885355,12,8.450000,5.580987,140920,1
1,65.107635,24,13.885355,18,7.587624,4.311971,140921,1
0,66.130722,19,8.587624,1,12.650000,1.917256,147398,1
1,66.247505,21,0.529580,18,1.450000,4.088382,148471,0
1,66.742821,18,0.739790,6,13.900000,0.046379,151508,1
1,68.107635,24,0.450000,21,2.586174,9.994338,159468,0
1,71.247505,21,13.900000,0,1.726123,0.390137,179163,0
1,71.247505,21,13.900000,6,1.726123,0.193175,179164,0
1,71.247505,21,8.450000,12,1.726123,0.028338,179165,0
1,72.620712,30,13.143338,12,8.450000,8.102263,188018,1
1,72.620712,30,13.143338,18,1.450000,3.251169,188019,1
1,72.620712,30,0.362155,21,13.143338,2.902039,188020,0
1,72.620712,30,13.143338,24,3.450000,2.089119,188021,1
1,72.820335,33,13.900000,9,2.162165,3.515793,190157,1
1,72.820335,33,13.900000,15,1.450000,3.131194,190158,1
1,72.820335,33,13.900000,21,0.362155,2.788950,190159,1
1,72.820335,33,13.900000,27,5.888768,3.394548,190160,1
